#node	identifier	node_degree
DRD4	9606.ENSP00000176183	1
ERBB3	9606.ENSP00000267101	8
FASLG	9606.ENSP00000356694	14
FCRL3	9606.ENSP00000357167	8
GATA3	9606.ENSP00000368632	15
GRB2	9606.ENSP00000376345	10
GSDMA	9606.ENSP00000301659	4
GSDMB	9606.ENSP00000415049	6
GZMB	9606.ENSP00000216341	15
HAVCR2	9606.ENSP00000312002	9
IL10	9606.ENSP00000412237	19
IL12A	9606.ENSP00000303231	7
IL12B	9606.ENSP00000231228	2
IRF7	9606.ENSP00000380697	14
MFHAS1	9606.ENSP00000276282	2
NOV	9606.ENSP00000259526	1
NRROS	9606.ENSP00000328625	5
OTUD3	9606.ENSP00000364261	1
PF4	9606.ENSP00000296029	5
PIK3R2	9606.ENSP00000222254	4
PTPN22	9606.ENSP00000352833	18
PTPRC	9606.ENSP00000411355	20
RASIP1	9606.ENSP00000222145	0
SCT	9606.ENSP00000176195	1
SESN3	9606.ENSP00000441927	0
SLC15A4	9606.ENSP00000266771	5
TGFBR2	9606.ENSP00000351905	13
TICAM1	9606.ENSP00000248244	9
TNFAIP3	9606.ENSP00000481570	17
TNFSF4	9606.ENSP00000281834	12
TNIP1	9606.ENSP00000317891	9
UBASH3A	9606.ENSP00000317327	8
