#node	identifier	node_degree
ABI1	9606.ENSP00000365312	14
ABI3	9606.ENSP00000225941	15
AMIGO3	9606.ENSP00000323096	0
BAD	9606.ENSP00000378040	9
BATF	9606.ENSP00000286639	46
BATF3	9606.ENSP00000243440	33
BCL2L11	9606.ENSP00000376943	45
BLK	9606.ENSP00000259089	52
BSN	9606.ENSP00000296452	5
CARD9	9606.ENSP00000360797	39
CCL11	9606.ENSP00000302234	37
CCL19	9606.ENSP00000308815	49
CCL2	9606.ENSP00000225831	62
CCL20	9606.ENSP00000351671	50
CCL21	9606.ENSP00000259607	46
CCL27	9606.ENSP00000259631	40
CCL7	9606.ENSP00000367832	36
CCRL2	9606.ENSP00000349967	58
CD2	9606.ENSP00000358490	58
CDC37	9606.ENSP00000222005	8
CDK2	9606.ENSP00000266970	35
CEBPA	9606.ENSP00000427514	42
CLDN3	9606.ENSP00000378577	13
CLDN4	9606.ENSP00000409544	16
CLECL1	9606.ENSP00000483624	17
CUL1	9606.ENSP00000326804	14
CXCR2	9606.ENSP00000319635	42
DAP	9606.ENSP00000230895	0
DIEXF	9606.ENSP00000419005	3
EDN3	9606.ENSP00000337128	4
ENSP00000383715	9606.ENSP00000383715	55
EOMES	9606.ENSP00000388620	51
ERBB3	9606.ENSP00000267101	34
ETS1	9606.ENSP00000376436	54
ETS2	9606.ENSP00000353344	29
FAP	9606.ENSP00000188790	11
FASLG	9606.ENSP00000356694	54
FCAR	9606.ENSP00000347714	14
FCGR2A	9606.ENSP00000271450	56
FCGR3A	9606.ENSP00000356946	59
FNDC4	9606.ENSP00000264703	3
FOS	9606.ENSP00000306245	70
GATA3	9606.ENSP00000368632	64
GBA	9606.ENSP00000314508	7
GNAS	9606.ENSP00000360141	25
GPR29	9606.ENSP00000343952	53
GPR31	9606.ENSP00000355799	7
GPR65	9606.ENSP00000267549	30
GRB2	9606.ENSP00000376345	42
GRHL2	9606.ENSP00000251808	12
HAVCR2	9606.ENSP00000312002	49
HECA	9606.ENSP00000356630	12
HHEX	9606.ENSP00000282728	12
IKZF1	9606.ENSP00000331614	58
IKZF3	9606.ENSP00000344544	45
IL10	9606.ENSP00000412237	75
IL12A	9606.ENSP00000303231	22
IL12B	9606.ENSP00000231228	19
IL12RB2	9606.ENSP00000262345	44
IL13	9606.ENSP00000304915	61
IL20	9606.ENSP00000356065	10
IL23R	9606.ENSP00000321345	56
IL2RA	9606.ENSP00000369293	65
IL4	9606.ENSP00000231449	75
IL6R	9606.ENSP00000357470	55
IRF1	9606.ENSP00000245414	59
IRF6	9606.ENSP00000355988	11
IRF8	9606.ENSP00000268638	63
IRGM	9606.ENSP00000428220	25
ITGAX	9606.ENSP00000454623	59
ITK	9606.ENSP00000398655	46
JAK2	9606.ENSP00000371067	70
KIR3DL2	9606.ENSP00000325525	24
KSR1	9606.ENSP00000381958	21
MALT1	9606.ENSP00000319279	20
MFHAS1	9606.ENSP00000276282	4
MMP9	9606.ENSP00000361405	61
NAB1	9606.ENSP00000336894	6
NCR1	9606.ENSP00000291890	42
NRROS	9606.ENSP00000328625	13
PARK7	9606.ENSP00000418770	13
PDGFB	9606.ENSP00000330382	28
PF4	9606.ENSP00000296029	30
PHOSPHO1	9606.ENSP00000406909	2
PIK3R2	9606.ENSP00000222254	22
PKIA	9606.ENSP00000379696	6
PKIG	9606.ENSP00000361980	3
PTPN22	9606.ENSP00000352833	57
PTPRC	9606.ENSP00000411355	80
RAB3A	9606.ENSP00000222256	8
RASGRP1	9606.ENSP00000310244	28
RORC	9606.ENSP00000327025	49
RPS6KA4	9606.ENSP00000333896	11
RUNX3	9606.ENSP00000382800	54
SLC12A5	9606.ENSP00000387694	6
SLC15A4	9606.ENSP00000266771	9
SOX8	9606.ENSP00000293894	14
SPRED2	9606.ENSP00000348753	18
SPTA1	9606.ENSP00000357129	4
STAT3	9606.ENSP00000264657	80
SYK	9606.ENSP00000364907	66
TCF7	9606.ENSP00000340347	45
TH	9606.ENSP00000370571	19
TNFAIP3	9606.ENSP00000481570	53
TNFRSF11A	9606.ENSP00000465500	20
TNFRSF14	9606.ENSP00000347948	47
TNFSF14	9606.ENSP00000469049	37
TPD52	9606.ENSP00000429309	5
TRAFD1	9606.ENSP00000257604	4
TRIM46	9606.ENSP00000334657	2
TSLP	9606.ENSP00000339804	45
UBASH3B	9606.ENSP00000284273	8
UBE2L3	9606.ENSP00000400906	19
VANGL2	9606.ENSP00000357040	2
WISP1	9606.ENSP00000250160	8
ZFP36L1	9606.ENSP00000388402	16
ZNF335	9606.ENSP00000325326	4
